id,titrFr,categorieFr,ref,niveau,prix,img,description
38,Modèle : l’ADN sur une planche en relief,Anatomie humaine,AN043,lycee,6.000.00 Dzd,/media/produit/images/AN_043_copy.jpg,
39,Les Tremblements de terre (planche en relief),Modèles en géologie,AN044,tous,9.000.00 Dzd,/media/produit/images/AN_044_copy.jpg,
40,Ensemble pour expériences multiples,Physique,DB001,ثانوي,0.00 Dzd,/media/produit/images/DB_001-1_copy.jpg,
41,Série de huit masses à crochets,Physique,DB002,متوسط - ثانوي,1.800.00 Dzd,/media/produit/images/DB_002-1_copy.jpg,
42,Série de volumes identiques,Physique,DB003,متوسط - ثانوي,2.000.00 Dzd,/media/produit/images/DB_003_copy.jpg,
43,Lot de 4 poulies,Physique,DB005,متوسط - ثانوي,1.000.00 Dzd,/media/produit/images/DB_005_copy.jpg,
44,Palan à 6 poulies modèle 1,Physique,DB006,متوسط - ثانوي,1.000.00 Dzd,/media/produit/images/DB_006_copy.jpg,
45,Palan à 6 poulies modèle 2,Physique,DB007,متوسط - ثانوي,1.000.00 Dzd,/media/produit/images/DB_007_copy.jpg,
46,Poulie triple,Physique,DB008,متوسط - ثانوي,700.00 Dzd,/media/produit/images/DB_008_copy.jpg,
47,Expérience de LAPLACE (force électromagnétique),Physique,DB009,متوسط - ثانوي,3.800.00 Dzd,/media/produit/images/DB_009_copy.jpg,
48,Rail de LAPLACE,Physique,DB010,متوسط - ثانوي,2.000.00 Dzd,/media/produit/images/DB_010_copy.jpg,
49,Sélonoide projetable,Physique,DB011,متوسط - ثانوي,1.300.00 Dzd,/media/produit/images/DB_011_copy.jpg,
50,Aimant en forme U,Physique,DB012,متوسط - ثانوي,1.500.00 Dzd,/media/produit/images/DB_012_copy.jpg,
51,Electro-aimant,Physique,DB013,متوسط - ثانوي,1.200.00 Dzd,/media/produit/images/DB_013_copy.jpg,
52,Poussée d’Archimède sans support,Physique,DB014,tous les niveaux,3.250.00 Dzd,/media/produit/images/DB_014_copy.jpg,
53,Expérience de MELD sur l’interférence des ondes,Physique,DB015,ثانوي,5.250.00 Dzd,/media/produit/images/DB_015_copy.jpg,
54,Aiguille d’œrsted,Physique,DB017,متوسط - ثانوي,1.300.00 Dzd,/media/produit/images/DB_017_copy.jpg,
55,Support métalique,Physique,DB019,متوسط - ثانوي,2.000.00 Dzd,/media/produit/images/DB_019_copy.jpg,
56,Redresseur 15 A,Electronique et électricité,DB020,متوسط - ثانوي,14.000.00 Dzd,/media/produit/images/DB_020_copy.jpg,
57,Transmission de mouvement,Physique,DB023,متوسط,7.400.00 Dzd,/media/produit/images/DB_023_copy.jpg,
58,Plan incliné,Physique,DB024,tous les niveaux,4.800.00 Dzd,/media/produit/images/DB_024_copy.jpg,
59,Etude de la sonnerie basse tension 6V à corps transparent,Electronique et électricité,DB025-2,متوسط,2.300.00 Dzd,/media/produit/images/DB_025-2_copy.jpg,
60,Disque NEWTON,Physique,DB034,tous les niveaux,900.00 Dzd,/media/produit/images/DB_034_copy.jpg,
61,Prisme équilatérale,Physique,DB035,متوسط - ثانوي,900.00 Dzd,/media/produit/images/DB_035_copy.jpg,
62,Prisme sur support,Physique,DB035-2,متوسط - ثانوي,1.800.00 Dzd,/media/produit/images/DB_035-1_copy.jpg,
63,Banc d'optique,Physique,DB036,ثانوي,8.300.00 Dzd,/media/produit/images/DB_036_copy.jpg,
64,La chambre obscure,Physique,DB037,tous les niveaux,3.600.00 Dzd,/media/produit/images/DB_037_copy.jpg,
65,Mécanisme de la vision : Anomalies et corrections,Geologie,DB038,ثانوي,5.300.00 Dzd,/media/produit/images/DB_038_copy.jpg,
66,Modèle de l'ADN,Sciences de la nature et de la vie,DB039,ثانوي,6.000.00 Dzd,/media/produit/images/DB_039_copy.jpg,
67,Mouvements gravitationnels de la terre,Geologie,DB040,متوسط - ثانوي,9.700.00 Dzd,/media/produit/images/DB_040_copy.jpg,
68,Système solaire,Geologie,DB040-2,متوسط - ثانوي,9.500.00 Dzd,/media/produit/images/DB_040-2_copy.jpg,
69,Expériences en Electricité,Electronique et électricité,DB042,متوسط - ثانوي,9.800.00 Dzd,/media/produit/images/DB_042_copy.jpg,
70,Bobines de FARADAY,Electronique et électricité,DB045,متوسط - ثانوي,3.500.00 Dzd,/media/produit/images/DB_045_copy.jpg,
71,Bobines à deux prises,Electronique et électricité,DB046,متوسط - ثانوي,2.200.00 Dzd,/media/produit/images/DB_046_copy.jpg,
72,Électrolyseur (electrode en charbon),Expériences de chimie,DB047,متوسط - ثانوي,2.000.00 Dzd,/media/produit/images/DB_047_copy.jpg,
73,Expériences multiples pour l’étude du frottement,Physique,DB048,متوسط - ثانوي,5.200.00 Dzd,/media/produit/images/DB_048-1_copy.jpg,
74,Circuit en serie,Electronique et électricité,DB055,متوسط - ثانوي,2.200.00 Dzd,/media/produit/images/DB_055_copy.jpg,
75,Circuit en parallèle,Electronique et électricité,DB056,متوسط - ثانوي,2.200.00 Dzd,/media/produit/images/DB_056_copy.jpg,
76,Boite de résistances,Electronique et électricité,DB057,متوسط - ثانوي,2.800.00 Dzd,/media/produit/images/DB_057_copy.jpg,
77,Expérience pour démontrer la dilatation des liquides,Expériences de chimie,DB072,tous les niveaux,1.800.00 Dzd,/media/produit/images/DB_072_copy.jpg,
78,Expérience pour démontrer la dilatation des gaz,Expériences de chimie,DB073,tous les niveaux,2.100.00 Dzd,/media/produit/images/DB_073_copy.jpg,
79,Diode ZENER,Electronique et électricité,DB078,ثانوي,500.00 Dzd,/media/produit/images/DB_078_copy.jpg,
80,Diode sur SOCLE,Electronique et électricité,DB079,tous les niveaux,550.00 Dzd,/media/produit/images/DB_079_copy.jpg,
81,Périscope,Optiques,DB090,متوسط - ثانوي,1.500.00 Dzd,/media/produit/images/DB_090_copy.jpg,
82,Coupe de la peau humaine,Anatomie humaine,AN047,tous,5.600.00 Dzd,/media/produit/images/AN_047_copy.jpg,
83,Galvanomètre à zéro central,Electronique et électricité,DB091,متوسط - ثانوي,2.800.00 Dzd,/media/produit/images/DB_091_copy.jpg,
84,Muscles oculomoteurs,Anatomie humaine,AN048,tous,6.000.00 Dzd,/media/produit/images/AN_048_copy.jpg,
85,Modèle du carbone,Expériences de chimie,DB094,متوسط - ثانوي,2.000.00 Dzd,/media/produit/images/DB_094_copy.jpg,
86,Racine de plante monocotylédone (Coupe transversale),Anatomie végétale,AN049,tous,6.000.00 Dzd,/media/produit/images/AN_049_copy.jpg,
87,Racine de plante dicotylédone (Coupe transversale),Anatomie végétale,AN050,tous,6.000.00 Dzd,/media/produit/images/AN_050_copy.jpg,
88,Modèle de sel de cuisine,Expériences de chimie,DB095,المتوسط - الثانوي,3.000.00 Dzd,/media/produit/images/DB_095_copy.jpg,
89,Coupe longitudinale d’une dent,Anatomie humaine,AN051,tous,4.000.00 Dzd,/media/produit/images/AN_051_copy.jpg,
90,Muscles du membre supérieur (sur planche en relief),Anatomie humaine,AN052,tous,7.000.00 Dzd,/media/produit/images/a269d3fc09dcce2b62139f03148073ba.jpg,
91,Muscles du membre inférieur (sur planche en relief),Anatomie humaine,AN053,tous,7.000.00 Dzd,/media/produit/images/AN_053_copy.jpg,
92,Modèle moléculaire,Expériences de chimie,DB096,متوسط - ثانوي,10.000.00 Dzd, ,
93,Appareil génital masculin (sur planche en relief),Anatomie humaine,AN054,tous,5.700.00 Dzd,/media/produit/images/AN_054_copy.jpg,
94,Modèle moléculaire simplifié,Expériences de chimie,DB096-2,tous les niveaux,6.500.00 Dzd, ,
95,Appareil génital féminin (sur planche en relief),Anatomie humaine,AN055,tous,5.700.00 Dzd,/media/produit/images/AN_055_copy.jpg,
96,Modèle moléculaire fondamental,Expériences de chimie,DB096-3,tous les niveaux,15.000.00 Dzd,/media/produit/images/DB_096-3_copy.jpg,
97,Le poulet (organes internes),Anatomie animale,AN056,tous,4.900.00 Dzd,/media/produit/images/AN_056_copy.jpg,
98,La Grenouille (organes internes),Anatomie animale,AN058,tous,8.100.00 Dzd,/media/produit/images/AN_058_copy.jpg,
99,La perche (organes internes),Anatomie animale,AN057,tous,4.800.00 Dzd,/media/produit/images/AN_057_copy.jpg,
100,Modèle d’une fleur dicotylédone,Anatomie végétale,AN059,tous,8.500.00 Dzd,/media/produit/images/AN_059_copy.jpg,
101,Calorimètre,Expériences de chimie,DB097,متوسط - ثانوي,3.500.00 Dzd,/media/produit/images/DB_097_copy.jpg,- pour la réalisation expérimentale de la lois de joule; la mesure de la chaleur massique etc ..
102,Modèle d’une fleur de pêche,Anatomie végétale,AN060,tous,7.000.00 Dzd,/media/produit/images/AN_060_copy.jpg,
103,Modèle de chloroplaste,Anatomie végétale,AN061,tous,7.000.00 Dzd,/media/produit/images/AN_061_copy.jpg,
104,Modèle d’une Cellule Animale,Anatomie animale,AN062,tous,0.00 Dzd,/media/produit/images/AN_062_copy.jpg,
105,Station météorologique,Sciences de la nature et de la vie,DB099-2,متوسط,5.000.00 Dzd,/media/produit/images/DB_099-2_copy.jpg,
106,Structure interne de la terre,Modèles en géologie,AN063,متوسط,0.00 Dzd,/media/produit/images/AN_063_copy.jpg,
107,Crane avec cerveau menu d’une base,Anatomie humaine,AN064,tous,0.00 Dzd,/media/produit/images/AN_064-1_copy.jpg,
108,Systeme dentaire gm avec brosse,Anatomie humaine,AN065,tous,6.000.00 Dzd,/media/produit/images/AN_65_copy.jpg,
109,Model villosité intestinale 3D,Anatomie humaine,AN066,tous,12.000.00 Dzd,/media/produit/images/AN_066_copy.jpg,
110,Model de coeur et circulation sanguine manuel,Anatomie humaine,AN067,tous,8.000.00 Dzd,/media/produit/images/AN_067_copy.jpg,
111,Papier PH en bandelette,Accessoires de laboratoire,LB002-1,tous,950.00 Dzd,/media/produit/images/LB__002-1_copy.jpg,
112,Papier PH: 1-14,Accessoires de laboratoire,LB002,tous,1.100.00 Dzd,/media/produit/images/lb_002_copy.jpg,
113,Etude de la chute libre,Physique,DB100,ثانوي,0.00 Dzd,/media/produit/images/DB_100_copy.jpg,
114,Masses marquées,Accessoires de laboratoire,LB001,tous les niveaux,3.500.00 Dzd,/media/produit/images/lb_001_copy.jpg,
115,Ampoules 6 voltes pour circuits,Electronique et électricité,DB102,tous les niveaux,300.00 Dzd,/media/produit/images/DB_102_copy.jpg,Prix du lot de 10 ampoules
116,Bec bunzen avec robinet,Accessoires de laboratoire,LB008,tous,3.500.00 Dzd,/media/produit/images/lb_008_copy.jpg,
117,Rhéostat à curseur (200),Electronique et électricité,DB108-1,متوسط - ثانوي,9.000.00 Dzd,/media/produit/images/DB_108-1_copy.jpg,
118,Bec bunzen,Accessoires de laboratoire,LB006-2,tous,0.00 Dzd,/media/produit/images/LB_006-2_copy.jpg,
119,Rhéostat à curseur (345),Electronique et électricité,DB108-3,متوسط - ثانوي,9.000.00 Dzd, ,
120,Thermomètre minimum-maximum,Appareils de mesures,LB004,tous,2.200.00 Dzd,/media/produit/images/lb_004_copy.jpg,
121,PH mètre Stylo,Appareils de mesures,LB003,tous,1.200.00 Dzd,/media/produit/images/lb_003_copy.jpg,
122,Poire de pipetage,Accessoires de laboratoire,LB010,tous,1.500.00 Dzd,/media/produit/images/lb_010_copy.jpg,
123,Ressort pour l’étude des ondes longitudinales,Physique,DB109,ثانوي,3.000.00 Dzd,/media/produit/images/DB_109_copy.jpg,
124,Lampe à alcool,Accessoires de laboratoire,LB009-1,tous,1.700.00 Dzd,/media/produit/images/LB_009-1_copy.jpg,
125,Ressort pour l’étude des ondes transversales,Physique,DB110,ثانوي,5.000.00 Dzd,/media/produit/images/DB_110_copy.jpg,
126,Pile de DANIELL,Physique,DB112,ثانوي,5.000.00 Dzd,/media/produit/images/DB_112_copy.jpg,
127,Lampe à alcool,Accessoires de laboratoire,LB009,tous,0.00 Dzd,/media/produit/images/lb_009_copy.jpg,
128,Tableau périodique en matière plastique,Expériences de chimie,DB116,tous les niveaux,3.200.00 Dzd,/media/produit/images/DB_116_copy.jpg,
129,Lampes de rechange Pour: Rétroprojecteur 250 w,Audio-visuel et projection,LB013-1,tous,600.00 Dzd,/media/produit/images/lb_013-1_copy.jpg,
130,Aiguille aimantée sur socle,Physique,DB117,متوسط - ثانوي,600.00 Dzd,/media/produit/images/DB_117_copy.jpg,
131,Lampes de rechange Pour: Rétroprojecteur 400w,Audio-visuel et projection,LB013-2,tous,600.00 Dzd,/media/produit/images/lb_013-1_copy_AeWuwLK.jpg,
132,Ecran de projection,Audio-visuel et projection,LB015,tous,0.00 Dzd,/media/produit/images/LB_015_copy.jpg,TREPIED 125x125 8000;00 TREPIED 150x150 11000;00 MURAL 150x150 10000;00 PORTABLE 150x150 24000;00 MURAL 180x180 12500;00 TREPIED 180x180 14000;00 MURAL 200x200 15000;00 TREPIED 200x200 16000;00 MOTORISE 200x200 28000;00
133,Paire de barreaux magnétiques rectangulaires,Physique,DB122,متوسط - ثانوي,2.500.00 Dzd,/media/produit/images/DB_122_copy.jpg,
134,Rétroprojecteur,Audio-visuel et projection,LB016,tous,0.00 Dzd,/media/produit/images/LB_016_copy.jpg,
135,Voltmètre,Electronique et électricité,DB123,متوسط - ثانوي,2.800.00 Dzd,/media/produit/images/DB_123_copy.jpg,
136,Ampèremètre,Electronique et électricité,DB124,متوسط - ثانوي,2.800.00 Dzd,/media/produit/images/DB_124_copy.jpg,
137,voltmètre digital,Electronique et électricité,DB123-1,متوسط - ثانوي,8.000.00 Dzd,/media/produit/images/DB_123-1_copy.jpg,
138,OHMMETR numérique,Electronique et électricité,DB120,متوسط - ثانوي,8.000.00 Dzd,/media/produit/images/DB_120_copy.jpg,
139,Ampèremètre numérique,Electronique et électricité,DB124-1,متوسط - ثانوي,8.000.00 Dzd,/media/produit/images/DB_124-1_copy.jpg,
140,Dynamomètre à corps transparent,Physique,DB125,متوسط - ثانوي,900.00 Dzd,/media/produit/images/DB_125-1-2_copy.jpg,- Son corps en plastique transparent - Indispensable pour l''études et la mesure des forces - Disponible en : 2.5N ; 5N ; 10N
141,Jeu de ressort,Physique,DB125-3,متوسط - ثانوي,2.000.00 Dzd,/media/produit/images/DB_125-3_copy.jpg,
142,Dynamomètre,Physique,DB126,متوسط - ثانوي,750.00 Dzd,/media/produit/images/DB_126-1_copy.jpg,Disponible en : 5N ; 10N
143,Figures géométrique en plastique,Physique,DB129-2,متوسط - ثانوي,3.000.00 Dzd,/media/produit/images/DB_129-2_copy.jpg,
144,Mortier et pilon en porcelaine 60 ml,Accessoires de laboratoire,LB021-1,tous,600.00 Dzd,/media/produit/images/lb_021-1_copy.jpg,
145,Pile simple,Physique,DB130,tous les niveaux,0.00 Dzd,/media/produit/images/DB_130_copy.jpg,
146,Balance éducative,Appareils de mesures,LB020,tous,6.500.00 Dzd,/media/produit/images/lb_020_copy.jpg,- portée : 500 g - Avec vis de réglage de la Position d’équilibre
147,Portoir pour pipettes en plastique,Accessoires de laboratoire,LB024-2,tous,1.700.00 Dzd,/media/produit/images/LB_024-2_copy.jpg,
148,Quatre plaques en métal,Physique,DB132,متوسط,3.000.00 Dzd,/media/produit/images/DB_132_copy.jpg,
149,Support de Burette en bois,Accessoires de laboratoire,LB024,tous,1.500.00 Dzd,/media/produit/images/lb_024_copy.jpg,
150,Fusible sur support,Electronique et électricité,DB134,متوسط,550.00 Dzd,/media/produit/images/DB_134_copy.jpg,
151,Pissettes en plastique 250ml,Accessoires de laboratoire,LB023-1,tous,400.00 Dzd,/media/produit/images/lb_023-1_copy.jpg,
152,Support de circuits intégrés,Physique,DB145,ثانوي,1.800.00 Dzd,/media/produit/images/DB_145_copy.jpg,
153,Balance Electronique,Appareils de mesures,LB026-5,tous,15.000.00 Dzd,/media/produit/images/LB_026-5_vv_copy.jpg,
154,Balance Electronique,Appareils de mesures,LB026-3,tous,5.700.00 Dzd,/media/produit/images/LB_026-3_copy.jpg,
155,Pont de Wheatstone,Electronique et électricité,DB146,ثانوي,2.200.00 Dzd,/media/produit/images/DB_146_copy.jpg,
156,Trépied pour bec bunzen Ou lampe à alcool,Appareils de mesures,LB025,tous,1.100.00 Dzd,/media/produit/images/lb_025_copy.jpg,
157,Pied à Coulisse,Appareils de mesures,LB027,tous,1.350.00 Dzd,/media/produit/images/lb_027_copy.jpg,
158,Balance Electronique,Appareils de mesures,LB026-6,tous,13.000.00 Dzd,/media/produit/images/LB_026-6_copy.jpg,
159,Micromètre,Appareils de mesures,LB029,tous,2.300.00 Dzd,/media/produit/images/LB_029_copy.jpg,
160,Association de lampes,Electronique et électricité,DB148,متوسط,1.500.00 Dzd,/media/produit/images/DB_148_copy.jpg,
161,Thermomètre de laboratoire 0 a 60,Appareils de mesures,LB028-1,tous,250.00 Dzd,/media/produit/images/lb_028-1-2-3_copy.jpg,
162,Résistances équivalentes,Electronique et électricité,DB149,متوسط,3.500.00 Dzd,/media/produit/images/DB_149_copy.jpg,
163,Thermomètre de laboratoire 0 à 110,Appareils de mesures,LB028-2,tous,800.00 Dzd,/media/produit/images/lb_028-1-2-3_copy_M9wWg5X.jpg,
164,Thermomètre de laboratoire 0 à 250,Appareils de mesures,LB028-3,tous,1.000.00 Dzd,/media/produit/images/lb_028-1-2-3_copy_zzwg2ps.jpg,
165,Etude du court-circuit,Electronique et électricité,DB150,متوسط,2.500.00 Dzd,/media/produit/images/DB_150_copy.jpg,
166,Pied à Coulisse Digital,Appareils de mesures,LB027-2,tous,2.500.00 Dzd,/media/produit/images/LB_027-2_copy.jpg,
167,Pied à Coulisse Digital,Appareils de mesures,LB027-3,tous,1.500.00 Dzd,/media/produit/images/LB_027-3_copy.jpg,
168,Microscope Bresser,Microscopes,LB030-BR45,tous,55.000.00 Dzd,/media/produit/images/LB_030-BR_45_copy.jpg,
169,Amplificateur opérationnel,Electronique et électricité,DB151,متوسط,2.300.00 Dzd,/media/produit/images/DB_151_copy.jpg,
170,Microscope biologique Binoculair 4 Objets 1000x Haut qualité,Microscopes,LB030-136c,tous,60.000.00 Dzd,/media/produit/images/LB_030-136C__copy.jpg,
171,Fonctionnement de transistor,Electronique et électricité,DB152,متوسط,3.400.00 Dzd,/media/produit/images/DB_152_copy.jpg,
172,Microscope monoculaire avec caméra USB OU LCD,Microscopes,LB030-2,tous,0.00 Dzd,/media/produit/images/LB_30-2_copy.jpg,
173,Transformation de l’énergie solaire,Electronique et électricité,DB155,متوسط - ثانوي,3.300.00 Dzd,/media/produit/images/DB_155_copy.jpg,
174,Microscope binoculaire avec caméra USB OU LCD,Microscopes,LB030-BM45,tous,39.500.00 Dzd,/media/produit/images/LB_030-BM45vv_copy.jpg,* Grossissement :40X-640X * 2oculaires :10X;16X * 3objecctifs:4X;10X;40X Doté d’une LCD OU caméra USB avec un logiciel pour l’acquisition et le traitement des images. * Avec une lampe intégrée plus d’autres accesoires fournis Livré dans une mallette de protection en platique
175,Caméra USB pour microscopes,Microscopes,LB030-3,tous,14.000.00 Dzd,/media/produit/images/LB_030-3_copy.jpg,Lorsqu''elle est montée sur un microscope; cette caméra permet: Sur des images plus nettes peut être vu par un plus grand nombre Des élèves en cela peuvent aussi traiter des images et des couches Par un programme spécial livre sur un CD ....... ect
176,Principe de fonctionnement du moteur Electrique et production du courant,Electronique et électricité,DB156,متوسط - ثانوي,5.000.00 Dzd,/media/produit/images/DB_156-1_copy.jpg,
177,Accessoires pour microscope,Microscopes,LB033,tous,10.000.00 Dzd,/media/produit/images/lb_033_copy.jpg,L’ensemble contient : Deux objectifs 5× et 40× -Un oculaire 15× -Un miroir plano Concave; diam 50mm
178,Boite de condensateurs,Electronique et électricité,DB157,ثانوي,3.000.00 Dzd,/media/produit/images/DB_157_copy.jpg,
179,Condensateur de filtrage,Electronique et électricité,DB158,ثانوي,2.400.00 Dzd,/media/produit/images/DB_158_copy.jpg,
180,Microscope binoculaire avec LED,Microscopes,LB030-44SM,tous,37.000.00 Dzd,/media/produit/images/LB_30-4_copy.jpg,- Agrandissement : 40x 400x - Objectifs : x4 – x10 – x40 - Oculaires : x10
181,microscope avec dirigeant de mouvement,Microscopes,LB030-BM42,tous,25.000.00 Dzd,/media/produit/images/LB_030-BM42__copy.jpg,- Agrandissement : 40x 400x - Objectifs : x4 – x10 – x40 - Oculaires : x10
182,L’œil : de l'objet au cerveau,Sciences de la nature et de la vie,DB159,ثانوي,4.800.00 Dzd,/media/produit/images/DB_159_copy.jpg,
183,Microscope monoculaire a 4 objectifs,Microscopes,LB030-BM104,tous,50.000.00 Dzd,/media/produit/images/LB_30-5_copy.jpg,- agrandissement : x40 – x400 –x1000 - objectifs : x4 – x10 – x40 - 100 - oculaire :x10
184,Microscope monoculaire GM,Microscopes,LB030-BM61,tous,33.000.00 Dzd,/media/produit/images/LB_30-6_copy.jpg,- agrandissement : x40 –x100- x400 - objectifs : x4 –x10-x40 - oculaires : x10 –x16
185,Microscope avec camera USB,Microscopes,LB030-BM44-MD35,tous,40.000.00 Dzd,/media/produit/images/LB_30-7_copy.jpg,- agrandissement : jusqu’à x640 - objectifs : x4 –x10-x40 - oculaires : x10 –x16 - camera USB
186,Microscope USB (400x ),Microscopes,LB030-UMD019,tous,15.000.00 Dzd,/media/produit/images/LB_30-7_02_copy.jpg,
187,Microscope digital LCD (500x 5M),Microscopes,LB030-UMD039,tous,38.000.00 Dzd,/media/produit/images/LB_30-8_copy.jpg,
188,Microscope digital USB avec une base (300x),Microscopes,LB030-UM012C,tous,18.000.00 Dzd,/media/produit/images/LB_30-9_copy.jpg,- image : 5mpixels - agrandissement : x300 - possibilité de prendre des photos et des video
189,Principe de lecture sur un pied à coulisse,Physique,DB160,ثانوي,4.300.00 Dzd,/media/produit/images/DB_160_copy.jpg,
190,Boite de résistance à décades,Electronique et électricité,DB161,ثانوي,4.800.00 Dzd,/media/produit/images/DB_161_copy.jpg,
